The coverage statistics at 2026-01-19 20:55:37 (see https://explain.tlapl.us/module-coverage-statistics for how to interpret the following statistics).
  line 597, col 12 to line 597, col 26 of module etcdraft: 1
  |line 98, col 47 to line 98, col 52 of module MCetcdraft: 1
  |line 99, col 47 to line 99, col 52 of module MCetcdraft: 1
  |line 100, col 47 to line 100, col 52 of module MCetcdraft: 1
  |line 561, col 49 to line 561, col 54 of module etcdraft: 1
  |line 562, col 49 to line 562, col 54 of module etcdraft: 1
  |line 563, col 42 to line 563, col 47 of module etcdraft: 1
  |line 564, col 54 to line 564, col 59 of module etcdraft: 1
  |line 103, col 36 to line 103, col 41 of module MCetcdraft: 1
  |line 106, col 43 to line 106, col 48 of module MCetcdraft: 1
  |line 107, col 44 to line 107, col 49 of module MCetcdraft: 1
  |line 108, col 40 to line 108, col 45 of module MCetcdraft: 1
  |line 110, col 42 to line 110, col 47 of module MCetcdraft: 1
  |line 113, col 54 to line 113, col 59 of module MCetcdraft: 1
  |line 117, col 28 to line 117, col 33 of module MCetcdraft: 1
  |line 587, col 31 to line 587, col 36 of module etcdraft: 1
  |line 588, col 33 to line 588, col 38 of module etcdraft: 1
  |line 589, col 27 to line 589, col 32 of module etcdraft: 1
  |line 590, col 34 to line 590, col 39 of module etcdraft: 1
  |line 591, col 27 to line 591, col 32 of module etcdraft: 1
  |line 595, col 28 to line 595, col 33 of module etcdraft: 1
  line 289, col 8 to line 289, col 226 of module MCetcdraft: 1
  line 166, col 8 to line 166, col 48 of module MCetcdraft: 618
  |line 166, col 8 to line 166, col 33 of module MCetcdraft: 77985
  |line 166, col 37 to line 166, col 48 of module MCetcdraft: 77985
  line 615, col 8 to line 615, col 55 of module etcdraft: 618
  line 616, col 8 to line 616, col 58 of module etcdraft: 618
  line 617, col 8 to line 617, col 56 of module etcdraft: 618
  line 618, col 8 to line 618, col 72 of module etcdraft: 618
  |line 618, col 26 to line 618, col 72 of module etcdraft: 618
  ||line 618, col 27 to line 618, col 36 of module etcdraft: 618
  ||line 618, col 45 to line 618, col 71 of module etcdraft: 618
  |||line 618, col 59 to line 618, col 64 of module etcdraft: 618
  line 619, col 8 to line 619, col 73 of module etcdraft: 618
  line 620, col 8 to line 620, col 49 of module etcdraft: 618
  line 621, col 8 to line 621, col 77 of module etcdraft: 618
  line 622, col 8 to line 622, col 77 of module etcdraft: 618
  line 623, col 8 to line 623, col 68 of module etcdraft: 618
  line 626, col 8 to line 631, col 9 of module etcdraft: 618
  line 633, col 8 to line 633, col 71 of module etcdraft: 618
  line 634, col 8 to line 634, col 62 of module etcdraft: 618
  line 636, col 8 to line 636, col 91 of module etcdraft: 618
  line 638, col 8 to line 638, col 83 of module etcdraft: 618
  |line 638, col 25 to line 638, col 83 of module etcdraft: 618
  ||line 638, col 26 to line 638, col 38 of module etcdraft: 618
  ||line 638, col 47 to line 638, col 82 of module etcdraft: 618
  |||line 638, col 61 to line 638, col 66 of module etcdraft: 618
  line 639, col 8 to line 639, col 84 of module etcdraft: 618
  |line 639, col 28 to line 639, col 84 of module etcdraft: 618
  ||line 639, col 29 to line 639, col 44 of module etcdraft: 618
  ||line 639, col 53 to line 639, col 83 of module etcdraft: 618
  |||line 639, col 67 to line 639, col 72 of module etcdraft: 618
  line 640, col 8 to line 640, col 78 of module etcdraft: 618
  |line 640, col 27 to line 640, col 78 of module etcdraft: 618
  ||line 640, col 28 to line 640, col 42 of module etcdraft: 618
  ||line 640, col 51 to line 640, col 77 of module etcdraft: 618
  |||line 640, col 65 to line 640, col 70 of module etcdraft: 618
  line 641, col 8 to line 641, col 66 of module etcdraft: 618
  |line 641, col 21 to line 641, col 66 of module etcdraft: 618
  ||line 641, col 22 to line 641, col 30 of module etcdraft: 618
  ||line 641, col 39 to line 641, col 65 of module etcdraft: 618
  |||line 641, col 53 to line 641, col 58 of module etcdraft: 618
  line 642, col 8 to line 642, col 67 of module etcdraft: 618
  |line 642, col 21 to line 642, col 67 of module etcdraft: 618
